/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_13.png -55.852734 -8.351499 -3.247748 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_25.png -0.929169 -3.495932 -1.187917 [430.025331, 248.755411]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_26.png 5.794540 -2.248447 -1.807497 [430.025324, 248.755413]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_27.png 10.115780 -3.316515 -2.334177 [430.025323, 248.755413]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_28.png 14.738518 -5.422722 -1.610908 [430.025323, 248.755413]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_29.png 17.290725 -6.357706 -0.506519 [430.025323, 248.755413]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_30.png 20.812450 -6.720447 -0.292077 [430.025323, 248.755413]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_31.png 23.412943 -6.449982 -0.948892 [430.025323, 248.755413]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_32.png 25.802402 -6.322968 -0.884142 [430.025323, 248.755413]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_33.png 27.327333 -5.864099 -1.149095 [430.025323, 248.755413]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_34.png 27.154909 -7.103684 -1.799597 [430.025323, 248.755413]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_35.png 27.640351 -6.446455 -2.451593 [430.025323, 248.755413]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_36.png 26.107875 -7.190877 -2.928101 [430.025323, 248.755413]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_37.png 24.898996 -6.912585 -2.749642 [430.025323, 248.755413]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_38.png 21.517007 -4.939842 -0.782525 [430.025323, 248.755413]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_39.png 20.095278 -4.105359 0.259604 [430.025323, 248.755413]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_40.png 20.454214 -4.434288 0.651623 [430.025323, 248.755413]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_41.png 20.327506 -5.663131 1.586332 [430.025323, 248.755413]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_42.png 21.728635 -5.659818 2.128002 [430.025323, 248.755413]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_43.png 21.935440 -5.297657 2.049660 [430.025323, 248.755413]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_44.png 23.304170 -4.981026 2.173530 [430.025323, 248.755413]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_45.png 23.990292 -7.054521 1.631819 [430.025323, 248.755413]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_46.png 24.445328 -10.011602 0.840993 [430.025323, 248.755413]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_48.png 19.132632 -24.783511 0.560041 [430.025323, 248.755413]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_49.png -9.838572 -69.003789 28.613376 [430.025323, 248.755413]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_50.png 174.797631 -79.020831 -154.136381 [372.378265, 252.342621]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_51.png -179.656740 -74.063923 -156.682839 [396.892578, 270.671814]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_52.png -176.184258 -77.787305 -152.325833 [400.165623, 272.652153]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_53.png -169.418746 -76.516737 -153.654248 [420.909515, 293.763947]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_54.png -167.085782 -78.487637 -152.445729 [433.55246, 300.697388]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_55.png -163.814382 -80.149484 -154.790584 [446.171326, 300.44696]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_56.png -158.397346 -78.343128 -160.361036 [447.432971, 300.350079]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-23-22/img/image_57.png -158.073952 -77.277052 -163.099901 [447.445564, 300.341926]
