/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_20.png -158.016983 -18.638319 -2.404081 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_38.png -115.265467 -39.777186 -1.340573 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_39.png -110.541804 -39.959531 -1.805423 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_40.png -102.776280 -38.970394 -2.803261 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_41.png -89.683861 -36.281299 -4.976383 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_42.png -80.532722 -31.816882 -6.088613 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_43.png -74.160998 -23.823135 -6.290379 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_44.png -72.296329 -17.590979 -5.042151 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_45.png -68.460366 -11.661574 -4.467493 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_46.png -64.281562 -8.091939 -3.774218 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_47.png -59.405471 -5.853184 -2.915979 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_48.png -54.951922 -4.082345 -2.770034 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_49.png -53.384126 -3.964842 -2.072879 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_50.png -51.959173 -2.764796 -1.207624 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_51.png -50.606916 -3.830129 -0.209060 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_52.png -48.644005 -4.698074 -0.657607 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_53.png -47.075664 -4.833757 -1.386375 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_54.png -44.391388 -6.442091 -2.052624 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_55.png -37.660231 -10.475843 -3.556622 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_56.png -28.634957 -20.341851 -3.861781 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_57.png -19.844478 -22.222953 -3.749743 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_58.png -13.112111 -27.534990 -2.895343 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_59.png -6.047833 -30.586761 -2.817718 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_60.png -5.447248 -32.530242 -2.278466 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_61.png -5.220029 -33.082005 -2.369041 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_62.png -7.252433 -33.308531 -1.825861 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_63.png -7.189623 -33.211604 -1.911963 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_64.png -5.568671 -30.943108 -1.889957 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_65.png -1.820142 -26.086455 -2.223058 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_66.png 0.402897 -22.781729 -2.100521 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_67.png 4.540209 -18.785906 -1.888546 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_68.png 10.940014 -15.955771 -1.990292 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_71.png 21.720724 -11.370974 -2.258876 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_74.png 25.273092 -7.042617 -2.958332 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_75.png 25.593196 -7.188627 -3.054482 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_76.png 25.680001 -6.993268 -3.324417 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_77.png 26.639438 -7.010310 -3.674625 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_78.png 27.320938 -8.073010 -4.081194 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_79.png 27.069277 -10.898975 -4.249301 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_81.png 27.898137 -16.916781 -3.218906 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_82.png 26.695591 -17.418258 -1.715360 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_83.png 23.836018 -18.822209 -1.430592 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_84.png 21.696756 -24.175980 -1.688566 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_85.png 19.852513 -31.498012 -0.068029 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_86.png 22.182082 -36.742876 0.591100 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_87.png 23.591832 -42.463336 0.787974 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_88.png 24.573077 -48.612001 -0.256603 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_90.png 29.659030 -56.383734 -2.876673 [454.63327, 273.522278]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_91.png 28.945091 -60.924510 -2.675643 [479.27179, 273.234985]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_92.png 30.048820 -63.366408 -3.721915 [482.935694, 273.46816]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_93.png 24.559741 -65.455529 -0.840677 [483.092338, 273.496683]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_94.png 14.227410 -67.129003 6.589478 [545.455811, 232.583344]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_95.png 12.882224 -73.044381 6.604048 [552.314226, 228.082591]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_96.png -3.864165 -83.781188 22.891647 [592.69751, 217.347733]
