/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_6.png 140.593443 -0.378648 0.541608 [575.589539, 241.98056]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_23.png -128.172639 7.442251 -4.641120 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_24.png -110.037360 1.748175 -3.567425 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_26.png -76.907805 -5.057901 -1.725118 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_27.png -61.519765 -7.390776 -1.461784 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_28.png -49.312749 -8.489611 -1.179424 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_29.png -32.242999 -19.605400 1.818317 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_30.png -21.990610 -34.618396 3.510103 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_31.png -14.907245 -46.593219 1.246863 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_32.png -14.849762 -49.401614 1.524037 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_34.png -16.585253 -45.811288 2.864430 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_35.png -18.208880 -42.152981 2.311219 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_36.png -22.582375 -36.199478 3.089864 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_37.png -41.644930 -17.850907 4.119888 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_38.png -54.537205 -9.121657 4.997590 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_39.png -72.647057 -3.858820 3.334244 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_40.png -115.833829 -25.319761 -0.015700 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_41.png -115.600186 -29.959354 -1.653549 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_42.png -118.817992 -38.395988 -3.619070 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_43.png -122.214978 -41.249331 -2.317241 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_45.png -121.638733 -38.848610 -1.757865 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_46.png -116.220960 -26.935358 0.572184 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_47.png -105.738488 -13.974932 0.732275 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_51.png -87.311601 -5.221210 0.732371 [483.693268, 299.450165]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_52.png -68.284614 -3.214510 3.100920 [454.402924, 282.069336]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_53.png -52.803712 -5.753112 4.166287 [429.373322, 270.597534]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_54.png -36.399827 -11.642838 4.033930 [404.542969, 259.579926]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_55.png -25.818583 -20.942053 1.651388 [375.291779, 254.486847]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_56.png -16.095552 -14.935237 2.067295 [343.144073, 259.331085]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_57.png -2.210519 -6.743364 2.846757 [315.552307, 257.88797]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_58.png 11.714002 -7.293723 2.054436 [299.967865, 261.389709]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_59.png 21.515959 -24.594862 8.004707 [289.34021, 266.760956]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_60.png 18.968781 -54.186149 22.838833 [276.312775, 267.439667]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_61.png -106.557481 -66.910996 139.498813 [262.28598, 256.225037]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_62.png -121.366571 -62.400592 158.111886 [255.785797, 255.411377]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_63.png -124.940062 -65.476171 155.656435 [256.61673, 254.215515]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_64.png -127.760987 -66.181682 162.437709 [266.788788, 255.287811]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_65.png -125.530472 -64.923681 163.745529 [267.899405, 255.417722]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_66.png 0.000000 0.000000 0.000000 [267.919852, 255.42129]
